ACC	GISAID
SRR14769738	EPI_ISL_2332821
SRR14769739	EPI_ISL_2332812
SRR14769740	EPI_ISL_2375498
SRR14767191	EPI_ISL_2425453
SRR14767192	EPI_ISL_2425452
SRR14767193	EPI_ISL_2425451
SRR14767194	EPI_ISL_2425450
SRR14767195	EPI_ISL_2425449
SRR14767196	EPI_ISL_2425448
SRR14767197	EPI_ISL_2425447
SRR14767198	EPI_ISL_2425446
SRR14767199	EPI_ISL_2425445
SRR14767200	EPI_ISL_2425444
SRR14752798	EPI_ISL_812447
SRR14752799	EPI_ISL_812448
SRR14752800	EPI_ISL_812449
SRR14752801	EPI_ISL_812450
SRR14752802	EPI_ISL_812451
SRR14752803	EPI_ISL_729904
SRR14752804	EPI_ISL_812444
SRR14752805	EPI_ISL_812445
SRR14752806	EPI_ISL_812446
SRR14752807	EPI_ISL_729869
SRR14752808	EPI_ISL_729902
SRR14752809	EPI_ISL_729911
SRR14752810	EPI_ISL_729912
SRR14752811	EPI_ISL_729913
SRR14752812	EPI_ISL_729914
SRR14752813	EPI_ISL_729870
SRR14752814	EPI_ISL_729915
SRR14752815	EPI_ISL_729916
SRR14752816	EPI_ISL_729917
SRR14752817	EPI_ISL_729918
SRR14752818	EPI_ISL_729919
SRR14752819	EPI_ISL_729903
SRR14752820	EPI_ISL_729871
SRR14752821	EPI_ISL_812443
SRR14752822	EPI_ISL_729905
SRR14752823	EPI_ISL_729906
SRR14752824	EPI_ISL_729907
SRR14752825	EPI_ISL_729908
SRR14752826	EPI_ISL_729909
SRR14752827	EPI_ISL_729910
SRR14751989	EPI_ISL_2273101
SRR14751990	EPI_ISL_2273100
SRR14751991	EPI_ISL_2273099
SRR14751992	EPI_ISL_2273098
SRR14751993	EPI_ISL_2273097
SRR14751994	EPI_ISL_2273137
SRR14751995	EPI_ISL_2273136
SRR14751996	EPI_ISL_2273135
SRR14751997	EPI_ISL_2273134
SRR14751998	EPI_ISL_2273133
SRR14751999	EPI_ISL_2273132
SRR14752000	EPI_ISL_2273131
SRR14752001	EPI_ISL_2273130
SRR14752002	EPI_ISL_2273096
SRR14752003	EPI_ISL_2273129
SRR14752004	EPI_ISL_2273128
SRR14752005	EPI_ISL_2273127
SRR14752006	EPI_ISL_2273126
SRR14752007	EPI_ISL_2273125
SRR14752008	EPI_ISL_2273124
SRR14752009	EPI_ISL_2273123
SRR14752010	EPI_ISL_2273122
SRR14752011	EPI_ISL_2273121
SRR14752012	EPI_ISL_2273120
SRR14752013	EPI_ISL_2273095
SRR14752014	EPI_ISL_2273119
SRR14752015	EPI_ISL_2273118
SRR14752016	EPI_ISL_2382312
SRR14752017	EPI_ISL_2273117
SRR14752018	EPI_ISL_2382311
SRR14752019	EPI_ISL_2273116
SRR14752020	EPI_ISL_2273115
SRR14752021	EPI_ISL_2273114
SRR14752022	EPI_ISL_2273113
SRR14752023	EPI_ISL_2273112
SRR14752024	EPI_ISL_2273094
SRR14752025	EPI_ISL_2273111
SRR14752026	EPI_ISL_2273110
SRR14752027	EPI_ISL_2273109
SRR14752028	EPI_ISL_2273108
SRR14752029	EPI_ISL_2273107
SRR14752030	EPI_ISL_2273106
SRR14752031	EPI_ISL_2273105
SRR14752032	EPI_ISL_2273104
SRR14752033	EPI_ISL_2273103
SRR14752034	EPI_ISL_2273102
SRR14752035	EPI_ISL_2273093
SRR14752036	EPI_ISL_2273092
SRR14725005	EPI_ISL_568554
SRR14725006	EPI_ISL_540962
SRR14725007	EPI_ISL_568553
SRR14725008	EPI_ISL_568552
SRR14725009	EPI_ISL_568551
SRR14725010	EPI_ISL_568550
SRR14725011	EPI_ISL_568549
SRR14725012	EPI_ISL_568548
SRR14725013	EPI_ISL_568547
SRR14725014	EPI_ISL_568546
SRR14725015	EPI_ISL_568545
SRR14725016	EPI_ISL_568544
SRR14725017	EPI_ISL_540961
SRR14725018	EPI_ISL_568543
SRR14725019	EPI_ISL_568542
SRR14725020	EPI_ISL_568541
SRR14725021	EPI_ISL_568540
SRR14725022	EPI_ISL_568539
SRR14725023	EPI_ISL_568538
SRR14725024	EPI_ISL_568537
SRR14725025	EPI_ISL_568536
SRR14725026	EPI_ISL_568535
SRR14725027	EPI_ISL_568534
SRR14725028	EPI_ISL_540960
SRR14725029	EPI_ISL_540991
SRR14725030	EPI_ISL_540990
SRR14725031	EPI_ISL_540989
SRR14725032	EPI_ISL_540988
SRR14725033	EPI_ISL_540987
SRR14725034	EPI_ISL_540986
SRR14725035	EPI_ISL_540985
