ACC	AGE
SRR15284964	28
SRR15284991	31
SRR15285046	42
SRR15285051	46
SRR15285072	42
SRR15284296	59
SRR15284297	31
SRR15284298	22
SRR15284299	19
SRR15284300	36
SRR15284301	30
SRR15284320	39
SRR15284322	19
SRR15284325	21
SRR15284334	26
SRR15284343	31
SRR15284344	24
SRR15284358	42
SRR15284361	31
SRR15284362	31
SRR15284363	34
SRR15284365	57
SRR15284366	12
SRR15284369	25
SRR15284370	36
SRR15284371	26
SRR15284373	42
SRR15284375	18
SRR15284377	18
SRR15284379	26
SRR15284491	63
SRR15284495	59
SRR15284000	31
SRR15284001	35
SRR15284176	73
SRR15284177	29
SRR15281728	52
SRR15277711	31
SRR15277712	78
SRR15277713	87
SRR15277714	38
SRR15277715	46
SRR15277716	36
SRR15277717	18
SRR15277718	45
SRR15277719	17
SRR15277720	32
SRR15277721	32
SRR15277722	37
SRR15277723	59
SRR15277724	30
SRR15277725	30
SRR15277726	52
SRR15277727	43
SRR15277728	40
SRR15277729	30
SRR15277730	30
SRR15277731	33
SRR15271654	61
SRR15272739	23
SRR15272740	38
SRR15272747	23
SRR15272749	27
SRR15272752	27
SRR15272753	36
SRR15272754	48
SRR15272755	50
SRR15272756	9
SRR15272757	13
SRR15272758	31
SRR15272759	38
SRR15272760	49
SRR15272761	31
SRR15272762	12
SRR15272763	40
SRR15272765	24
SRR15272767	29
SRR15272768	56
SRR15272769	29
SRR15272770	43
SRR15272771	45
SRR15272772	42
SRR15272773	52
SRR15272774	27
SRR15272775	53
SRR15272776	34
SRR15272777	17
SRR15272778	31
SRR15272779	36
SRR15272780	51
SRR15272782	50
SRR15272783	18
SRR15272784	57
SRR15272785	21
SRR15272786	29
SRR15272787	45
SRR15272788	62
SRR15272789	59
SRR15272790	40
SRR15272791	18
SRR15272792	32
SRR15272794	63
SRR15272796	52
SRR15272802	59
SRR15272821	38
SRR15272838	15
SRR15272843	7
SRR15272868	29
SRR15272869	32
SRR15272871	19
SRR15272882	4
SRR15272889	39
SRR15272891	85
SRR15272895	28
SRR15272903	65
SRR15272905	51
SRR15272906	23
SRR15272907	44
SRR15272908	14
SRR15272909	83
SRR15272910	60
SRR15272911	33
SRR15272912	42
SRR15272913	42
SRR15272914	29
SRR15272915	23
SRR15272916	39
SRR15272917	23
SRR15272918	64
SRR15272919	55
SRR15272920	42
SRR15272921	28
SRR15272922	40
SRR15272924	20
SRR15272925	24
SRR15272926	30
SRR15272927	47
SRR15272928	29
SRR15272929	26
SRR15272931	60
SRR15272933	15
SRR15272934	31
SRR15272935	49
SRR15272937	37
SRR15272944	28
SRR15272946	46
SRR15272955	32
SRR15272958	18
SRR15272961	29
SRR15272962	25
SRR15272963	62
SRR15272964	34
SRR15272965	36
SRR15272972	36
SRR15272991	57
SRR15272997	4
SRR15272999	21
SRR15273003	32
SRR15273005	35
SRR15273008	9
SRR15273011	40
SRR15273020	29
SRR15273024	24
SRR15273035	19
SRR15272557	23
SRR15272561	43
SRR15272568	30
SRR15272572	28
SRR15272573	36
SRR15272575	58
SRR15272580	30
SRR15272581	63
SRR15272583	63
SRR15272584	31
SRR15272585	19
SRR15272587	59
SRR15272596	35
SRR15272612	49
SRR15272614	33
SRR15272615	60
SRR15272616	48
SRR15272623	50
SRR15272653	25
SRR15272659	9
SRR15272662	21
SRR15272663	33
SRR15272664	58
SRR15272672	51
SRR15272675	60
SRR15272676	51
SRR15272678	35
SRR15272680	37
SRR15272681	32
SRR15272683	41
SRR15272684	56
SRR15272691	20
SRR15272695	38
SRR15272701	32
SRR15272704	62
SRR15272707	30
SRR15272709	21
SRR15272711	14
SRR15272714	64
SRR15272716	25
SRR15272717	56
SRR15272722	52
SRR15272726	62
SRR15272731	62
SRR15272732	60
SRR15272733	21
SRR15272248	19
SRR15272250	25
SRR15272251	21
SRR15272252	22
SRR15272253	21
SRR15272254	21
SRR15272255	53
SRR15272256	58
SRR15272257	23
SRR15272258	33
SRR15272259	10
SRR15272260	20
SRR15272261	35
SRR15272262	41
SRR15272263	50
SRR15272264	29
SRR15272265	33
SRR15272266	21
SRR15272267	26
SRR15272268	26
SRR15272269	34
SRR15272270	32
SRR15272271	18
SRR15272272	26
SRR15272273	49
SRR15272274	45
SRR15272275	72
SRR15272276	61
SRR15272277	42
SRR15272278	58
